fecha_hora,valor_sensor,voltaje
2024-10-16 22:37:12,173,0.14
2024-10-16 22:37:13,160,0.13
2024-10-16 22:37:15,166,0.13
2024-10-16 22:37:16,166,0.13
2024-10-16 22:37:17,162,0.13
2024-10-16 22:37:18,156,0.13
2024-10-16 22:37:20,156,0.13
2024-10-16 22:37:21,162,0.13
2024-10-16 22:37:22,163,0.13
2024-10-16 22:37:23,173,0.14
2024-10-16 22:37:25,163,0.13
2024-10-16 22:37:26,170,0.14
2024-10-16 22:37:27,163,0.13
2024-10-16 22:37:28,155,0.12
2024-10-16 22:37:30,168,0.14
2024-10-16 22:37:31,161,0.13
2024-10-16 22:37:32,156,0.13
2024-10-16 22:37:33,161,0.13
2024-10-16 22:37:35,156,0.13
2024-10-16 22:37:36,157,0.13
2024-10-16 22:37:37,161,0.13
2024-10-16 22:37:39,159,0.13
2024-10-16 22:37:40,155,0.12
2024-10-16 22:37:41,160,0.13
2024-10-16 22:37:42,171,0.14
2024-10-16 22:37:43,164,0.13
2024-10-16 22:37:45,150,0.12
2024-10-16 22:37:46,157,0.13
2024-10-16 22:37:47,158,0.13
2024-10-16 22:37:48,155,0.12
2024-10-16 22:37:50,165,0.13
2024-10-16 22:37:51,165,0.13
2024-10-16 22:37:52,151,0.12
2024-10-16 22:37:54,155,0.12
2024-10-16 22:37:55,155,0.12
2024-10-16 22:37:56,160,0.13
2024-10-16 22:37:57,165,0.13
2024-10-16 22:37:58,159,0.13
2024-10-16 22:38:00,155,0.12
2024-10-16 22:38:01,160,0.13
2024-10-16 22:38:02,150,0.12
2024-10-16 22:38:03,156,0.13
2024-10-16 22:38:05,153,0.12
2024-10-16 22:38:06,147,0.12
2024-10-16 22:38:07,155,0.12
2024-10-16 22:38:09,161,0.13
2024-10-16 22:38:10,151,0.12
2024-10-16 22:38:11,167,0.13
2024-10-16 22:38:12,159,0.13
2024-10-16 22:38:13,159,0.13
2024-10-16 22:38:15,149,0.12
2024-10-16 22:38:16,155,0.12
2024-10-16 22:38:17,165,0.13
2024-10-16 22:38:19,171,0.14
2024-10-16 22:38:20,154,0.12
2024-10-16 22:38:21,151,0.12
2024-10-16 22:38:22,159,0.13
2024-10-16 22:38:24,157,0.13
2024-10-16 22:38:25,155,0.12
2024-10-16 22:38:26,162,0.13
2024-10-16 22:38:27,151,0.12
2024-10-16 22:38:29,153,0.12
2024-10-16 22:38:30,163,0.13
2024-10-16 22:38:31,156,0.13
2024-10-16 22:38:32,158,0.13
2024-10-16 22:38:34,151,0.12
2024-10-16 22:38:35,162,0.13
2024-10-16 22:38:36,158,0.13
2024-10-16 22:38:37,154,0.12
2024-10-16 22:38:39,157,0.13
2024-10-16 22:38:40,159,0.13
2024-10-16 22:38:41,151,0.12
2024-10-16 22:38:42,164,0.13
2024-10-16 22:38:44,163,0.13
2024-10-16 22:38:45,148,0.12
2024-10-16 22:38:46,150,0.12
2024-10-16 22:38:47,157,0.13
2024-10-16 22:38:49,153,0.12
2024-10-16 22:38:50,145,0.12
2024-10-16 22:38:51,169,0.14
2024-10-16 22:38:52,151,0.12
2024-10-16 22:38:54,165,0.13
2024-10-16 22:38:55,159,0.13
2024-10-16 22:38:56,149,0.12
2024-10-16 22:38:57,161,0.13
2024-10-16 22:38:59,161,0.13
2024-10-16 22:39:00,149,0.12
2024-10-16 22:39:01,158,0.13
2024-10-16 22:39:02,156,0.13
2024-10-16 22:39:04,160,0.13
2024-10-16 22:39:05,162,0.13
2024-10-16 22:39:06,155,0.12
2024-10-16 22:39:07,157,0.13
2024-10-16 22:39:09,161,0.13
2024-10-16 22:39:10,160,0.13
2024-10-16 22:39:11,166,0.13
2024-10-16 22:39:13,162,0.13
2024-10-16 22:39:14,166,0.13
2024-10-16 22:39:15,157,0.13
2024-10-16 22:39:16,158,0.13
2024-10-16 22:39:18,155,0.12
2024-10-16 22:39:19,156,0.13
2024-10-16 22:39:20,160,0.13
2024-10-16 22:39:21,161,0.13
2024-10-16 22:39:23,155,0.12
2024-10-16 22:39:24,156,0.13
2024-10-16 22:39:25,151,0.12
2024-10-16 22:39:26,153,0.12
2024-10-16 22:39:28,161,0.13
2024-10-16 22:39:29,159,0.13
2024-10-16 22:39:30,161,0.13
2024-10-16 22:39:31,147,0.12
2024-10-16 22:39:33,159,0.13
2024-10-16 22:39:34,161,0.13
2024-10-16 22:39:35,162,0.13
2024-10-16 22:39:36,161,0.13
2024-10-16 22:39:38,162,0.13
2024-10-16 22:39:39,163,0.13
2024-10-16 22:39:40,163,0.13
2024-10-16 22:39:41,158,0.13
2024-10-16 22:39:43,167,0.13
2024-10-16 22:39:44,161,0.13
2024-10-16 22:39:45,164,0.13
2024-10-16 22:39:46,161,0.13
2024-10-16 22:39:48,154,0.12
2024-10-16 22:39:49,161,0.13
2024-10-16 22:39:50,160,0.13
2024-10-16 22:39:51,160,0.13
2024-10-16 22:39:53,161,0.13
2024-10-16 22:39:54,162,0.13
2024-10-16 22:39:56,162,0.13
2024-10-16 22:39:57,164,0.13
2024-10-16 22:39:58,151,0.12
2024-10-16 22:40:00,159,0.13
2024-10-16 22:40:01,153,0.12
2024-10-16 22:40:02,156,0.13
2024-10-16 22:40:03,159,0.13
2024-10-16 22:40:05,161,0.13
2024-10-16 22:40:06,160,0.13
2024-10-16 22:40:07,160,0.13
2024-10-16 22:40:08,159,0.13
2024-10-16 22:40:10,175,0.14
2024-10-16 22:40:11,165,0.13
2024-10-16 22:40:12,156,0.13
2024-10-16 22:40:13,160,0.13
2024-10-16 22:40:15,163,0.13
2024-10-16 22:40:16,160,0.13
2024-10-16 22:40:17,161,0.13
2024-10-16 22:40:18,158,0.13
2024-10-16 22:40:20,160,0.13
2024-10-16 22:40:21,156,0.13
2024-10-16 22:40:22,162,0.13
2024-10-16 22:40:23,157,0.13
2024-10-16 22:40:25,176,0.14
2024-10-16 22:40:26,162,0.13
2024-10-16 22:40:27,159,0.13
2024-10-16 22:40:28,170,0.14
2024-10-16 22:40:30,169,0.14
2024-10-16 22:40:31,160,0.13
2024-10-16 22:40:32,167,0.13
2024-10-16 22:40:33,156,0.13
2024-10-16 22:40:35,162,0.13
2024-10-16 22:40:36,169,0.14
2024-10-16 22:40:37,166,0.13
2024-10-16 22:40:38,162,0.13
2024-10-16 22:40:40,171,0.14
2024-10-16 22:40:41,165,0.13
2024-10-16 22:40:42,167,0.13
2024-10-16 22:40:43,166,0.13
2024-10-16 22:40:45,159,0.13
2024-10-16 22:40:46,160,0.13
2024-10-16 22:40:47,163,0.13
2024-10-16 22:40:48,173,0.14
2024-10-16 22:40:50,161,0.13
2024-10-16 22:40:51,166,0.13
2024-10-16 22:40:52,161,0.13
2024-10-16 22:40:53,170,0.14
2024-10-16 22:40:55,168,0.14
2024-10-16 22:40:56,163,0.13
2024-10-16 22:40:57,169,0.14
2024-10-16 22:40:58,161,0.13
2024-10-16 22:41:00,171,0.14
2024-10-16 22:41:01,168,0.14
2024-10-16 22:41:02,176,0.14
2024-10-16 22:41:03,171,0.14
2024-10-16 22:41:05,161,0.13
