valor_analogico,voltaje,calidad_aire
46,0.04,Excelente
34,0.03,Excelente
47,0.04,Excelente
45,0.04,Excelente
38,0.03,Excelente
48,0.04,Excelente
47,0.04,Excelente
55,0.04,Excelente
13,0.01,Excelente
16,0.01,Excelente
4,0.0,Excelente
7,0.01,Excelente
16,0.01,Excelente
13,0.01,Excelente
13,0.01,Excelente
12,0.01,Excelente
10,0.01,Excelente
17,0.01,Excelente
16,0.01,Excelente
22,0.02,Excelente
18,0.01,Excelente
20,0.02,Excelente
16,0.01,Excelente
27,0.02,Excelente
19,0.02,Excelente
16,0.01,Excelente
16,0.01,Excelente
21,0.02,Excelente
29,0.02,Excelente
22,0.02,Excelente
26,0.02,Excelente
10,0.01,Excelente
29,0.02,Excelente
30,0.02,Excelente
37,0.03,Excelente
26,0.02,Excelente
37,0.03,Excelente
16,0.01,Excelente
13,0.01,Excelente
6,0.0,Excelente
16,0.01,Excelente
10,0.01,Excelente
7,0.01,Excelente
8,0.01,Excelente
2,0.0,Excelente
11,0.01,Excelente
0,0.0,Excelente
11,0.01,Excelente
0,0.0,Excelente
13,0.01,Excelente
182,0.15,Excelente
183,0.15,Excelente
178,0.14,Excelente
176,0.14,Excelente
176,0.14,Excelente
192,0.15,Excelente
153,0.12,Excelente
147,0.12,Excelente
145,0.12,Excelente
274,0.22,Excelente
245,0.2,Excelente
154,0.12,Excelente
126,0.1,Excelente
125,0.1,Excelente
126,0.1,Excelente
119,0.1,Excelente
111,0.09,Excelente
122,0.1,Excelente
114,0.09,Excelente
114,0.09,Excelente
112,0.09,Excelente
112,0.09,Excelente
111,0.09,Excelente
112,0.09,Excelente
112,0.09,Excelente
112,0.09,Excelente
113,0.09,Excelente
121,0.1,Excelente
112,0.09,Excelente
112,0.09,Excelente
116,0.09,Excelente
111,0.09,Excelente
106,0.09,Excelente
115,0.09,Excelente
114,0.09,Excelente
116,0.09,Excelente
112,0.09,Excelente
108,0.09,Excelente
104,0.08,Excelente
115,0.09,Excelente
99,0.08,Excelente
112,0.09,Excelente
107,0.09,Excelente
105,0.08,Excelente
112,0.09,Excelente
99,0.08,Excelente
